"id","schedule_id","order_id","game_id"
1,1,1,12
2,1,2,13
3,1,3,14
4,1,4,27
5,1,5,28
6,1,6,29
7,1,7,30
8,1,8,37
9,1,9,38
10,1,10,42
11,2,1,5
12,2,2,6
13,2,3,7
14,2,4,8
15,2,5,21
16,2,6,22
17,2,7,23
18,2,8,24
19,2,9,35
20,2,10,36
21,2,11,42
22,3,1,6
23,3,2,7
24,3,3,20
25,3,4,21
26,3,5,22
27,3,6,23
28,3,7,30
29,3,8,31
30,3,9,35
31,4,1,4
32,4,2,14
33,4,3,15
34,4,4,16
35,4,5,17
36,4,6,26
37,4,7,27
38,4,8,32
39,5,1,5
40,6,1,3
41,7,1,7
42,8,1,47
43,8,2,48
44,9,1,9
45,9,2,10
46,9,3,11
47,9,4,12
48,10,1,8
49,10,2,9
50,10,3,10
51,10,4,11
52,11,1,7
53,11,2,8
54,11,3,9
55,11,4,10
56,12,1,36
57,12,2,37
58,13,1,9
59,14,1,10