"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
12,11,2,7.3,6.5,6.7,,0
13,18,2,7.5,6.6,7.2,,0
14,13,2,6,6.4,5.6,,0
15,10,2,7.4,7,5.8,,0
16,1,2,7.7,7.6,6.3,,0
17,5,2,7.2,7.1,7.1,,0
18,6,2,5.6,5.2,4.2,,0
19,22,2,5.8,6.1,5,,0
20,20,2,5.7,6,4.8,,0
21,16,2,6.8,6.5,5.4,,0
22,14,2,7.9,7.5,7.4,,0
23,9,2,8,8.2,7.9,,0
6,3,1,,,,,1
24,15,3,7.3,7.6,7.3,0,0
25,1,3,6.3,7.4,7,0,0
26,4,3,6.9,7.3,7.1,0,0
1,17,1,6.7,6.2,7.1,,0
2,8,1,7.4,7.4,8.1,,0
3,2,1,4.8,5.5,5.5,,0
4,23,1,5.1,5.7,5.6,,0
5,7,1,5.2,5.9,5.9,,0
7,21,1,5.4,6.3,6.1,,0
8,19,1,7,6.6,7.2,,0
9,12,1,6.8,6.5,7,,0
10,4,1,7.6,7.2,7.9,,0
11,15,1,7.2,7.3,7.9,,0
27,14,3,7.2,8,7.4,0,0
28,8,3,7,7.9,7.2,0,0
29,9,3,7.5,8.2,7.8,0,0