"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
2,16,6,,17,1,0,0
31,27,31,39,,3,,
33,9,23,40,,0,,
10,22,21,25,,0,0,0
35,45,5,,41,0,,
42,20,1,44,,2,,
34,33,13,,40,1,,
27,42,32,,37,1,,0
3,15,44,18,,3,0,0
36,46,21,41,,0,,
11,11,17,,26,2,0,0
32,19,34,,39,3,,
40,23,13,,43,2,,
28,1,36,37,,2,0,
41,21,5,,44,2,,
15,2,27,31,,0,0,
39,27,19,43,,3,,
23,43,5,,35,0,,0
29,20,10,,38,3,0,0
4,40,7,,19,2,0,0
5,37,26,20,,1,0,0
43,27,23,46,,1,0,0
16,31,28,,31,3,0,0
6,41,4,,21,0,0,0
44,20,21,,46,0,0,0
12,18,42,27,,0,0,0
8,43,8,23,,2,0,0
1,12,27,,15,0,0,0
45,27,20,,,1,0,0
46,23,21,,,3,0,0
13,36,24,,28,3,0,0
14,38,30,,30,4,0,1
9,3,35,,24,3,0,0
7,39,29,22,,3,0,0
19,9,40,33,,2,0,
20,26,23,,33,1,,0
24,45,3,35,,2,0,
30,14,38,38,,3,0,
17,19,6,32,,3,0,
21,33,4,34,,2,0,
25,21,25,,36,3,,0
37,1,32,,42,2,,
18,15,34,,32,1,,0
22,39,13,,34,0,,0
26,46,11,36,,3,0,
38,14,20,42,,1,,