"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","start_penalty","retire"
1,1,1,13.6,5.4,7.2,6.2,6.8,5.8,27.58,,,0
2,7,1,16.4,6.7,7.3,6.5,7.1,7.9,27.08,,,0
3,4,1,15.8,7.1,7.1,6.9,7.3,6.5,28.51,-2,,0
4,3,1,15.5,7.9,7.4,7.1,7.5,6.3,30.07,,,0
5,5,1,14.1,7.5,7.1,7.3,7.4,8.2,27.58,,,0
6,2,1,16.1,7.1,6.9,7,7.2,8,25.66,,,0
7,6,1,17.8,8.6,8.3,8,7.8,7.6,27.95,,,0
8,5,2,14.3,8,7.7,6.9,7.2,8.2,27.3,0,,0
9,7,2,16.5,7.1,7.6,6.6,7.3,8.3,26.7,0,,0
10,2,2,16.3,7.7,8,7.7,5.8,7.6,26.41,0,,0
11,6,2,16.4,8.5,8.9,7.3,7.9,7.3,28.62,0,,0